Port Name,State,Port Code,Border,Date,Measure,Value
Port Huron,MI,3802,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,44
Sarles,ND,3409,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Alcan,AK,3104,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,2011
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,46
Bridgewater,ME,127,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,132
Walhalla,ND,3407,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Portland,ME,101,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Otay Mesa,CA,2506,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,21
Eastport,ID,3302,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,101
Fort Kent,ME,110,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Nighthawk,WA,3011,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,29758
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,500
Lukeville,AZ,2602,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Carbury,ND,3421,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Neche,ND,3404,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,3447
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,16722
Highgate Springs-Alburg,VT,212,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,44189
Laurier,WA,3016,US-Canada Border,01/01/1996 12:00:00 AM,Trains,22
Sumas,WA,3009,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,82087
Morgan,MT,3319,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Eastport,ID,3302,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,2482
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Trains,107
Sweetgrass,MT,3310,US-Canada Border,01/01/1996 12:00:00 AM,Buses,72
Nighthawk,WA,3011,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Whitetail,MT,3312,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Scobey,MT,3309,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,4
Sweetgrass,MT,3310,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,17805
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,344
Carbury,ND,3421,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Eastport,ID,3302,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,8802
Brownsville,TX,2301,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,8180
Noonan,ND,3420,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,5728
Skagway,AK,3103,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,8
Danville,WA,3012,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,41
Sumas,WA,3009,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Roma,TX,2310,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,35148
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,160
Massena,NY,704,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,3796
Oroville,WA,3019,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Calais,ME,115,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,243489
Sherwood,ND,3414,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,3151
Jackman,ME,104,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,15943
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Buses,1
Fortuna,ND,3417,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,1997
Van Buren,ME,108,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,74
Lynden,WA,3023,US-Canada Border,01/01/1996 12:00:00 AM,Buses,19
Houlton,ME,106,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,7537
Whitlash,MT,3321,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Northgate,ND,3406,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Frontier,WA,3020,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Sumas,WA,3009,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,352
Grand Portage,MN,3613,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,2818
Hannah,ND,3408,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Raymond,MT,3301,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Jackman,ME,104,US-Canada Border,01/01/1996 12:00:00 AM,Trains,31
Sault Sainte Marie,MI,3803,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,313965
Naco,AZ,2603,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Del Rio,TX,2302,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,400354
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Andrade,CA,2502,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Bridgewater,ME,127,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,2
St. John,ND,3405,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,67
Massena,NY,704,US-Canada Border,01/01/1996 12:00:00 AM,Buses,267
Lynden,WA,3023,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Skagway,AK,3103,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Madawaska,ME,109,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,292
Pembina,ND,3401,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Houlton,ME,106,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,3
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,9290
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,1234
Detroit,MI,3801,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,106432
Whitlash,MT,3321,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Pinecreek,MN,3425,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,442
Derby Line,VT,209,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Turner,MT,3306,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,37
Lukeville,AZ,2602,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,1131
Ferry,WA,3013,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Raymond,MT,3301,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,849
San Ysidro,CA,2504,US-Mexico Border,01/01/1996 12:00:00 AM,Buses,0
San Luis,AZ,2608,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
